label,humanLabel,text,score
NEUTRAL,0,さぁあと9万人埼玉県東松山市愛知県日進市の人口程度,0.9005
NEUTRAL,0,さぁあと10万巨大サッカースタジアムの収容人数程度だ,0.8484
POSITIVE,1,あと12万再生とか普通に言うけど本来なら並ならぬ時間が掛かる物だけど直ぐにも達成しそうなのが恐ろしい実際早いけど,0.5583
NEUTRAL,0,はい皆さんが1000万再生するまで2週間近くかかりました先生怒んないから次からもっと視聴するように,0.675
NEUTRAL,0,さぁあと12万だ,0.4869
NEUTRAL,0,半年で3.4億かレベルが違うな😂,0.9105
NEUTRAL,0,あと12万回,0.6945
POSITIVE,1,ガチでレコ大取れそうだとそして俺の中では金輪際現れない名曲なのです画面中で踊ってるアイがかわいくて鬼リピなのです1:181:31 2:31 YOASOBI for life. A star.,0.9071
POSITIVE,1,YOASOBIすごいどの曲も神🎧,0.9793
POSITIVE,1,個人的な意見だけど私的にはアイドルが1番YOASOBIの中で好き♡毎日のように聞いてる,0.9623
NEGATIVE,0,あこおなて🎉❤😊,0.8514
NEUTRAL,0,あと20万回で3.4億回😊❤,0.6325
POSITIVE,0,YOASOBIのアイドル聞いて推しの子見始めた人絶対多い,0.8761
POSITIVE,0,ここだけの話その姿親に見せられますか?愛してると言われれば見せられるだろうー😢😢😢,0.8444
NEUTRAL,0,最近韓流女子グループのMV広告がやたら流れて来るがもしかしたら海外ではアイドルのMV広告流してたりするのか気になる教えて海外勢🇯🇵,0.7639
NEUTRAL,0,川﨑桜,0.91
POSITIVE,0,さぁあと25万だ,0.4814
NEUTRAL,0,聞くたびにアニメ第1話がフラッシュバックしてグッとくる,0.438
NEUTRAL,0,なにわ,0.8822
NEUTRAL,0,夜中は寝ながらコメント出来ないな寝ながらコメント出来るシステムを開発したら特許だな,0.852
NEGATIVE,0,1日で1番伸びない時間は昼過ぎから日本やその他アジアは仕事学校ヨーロッパアメリカは就寝時間自分のような大学生は神として崇められるべきだと思うけどどうする,0.8306
POSITIVE,0,今年の紅白で歌ってくれると思う人!,0.9637
POSITIVE,0,本日中に3.4億再生達成だ!,0.9852
POSITIVE,1,病院の待合室で聴くアイドルもまた良きかな,0.9263
POSITIVE,0,誰やねん( #`꒳´)再生回数3億稼いだの(褒めてる,0.9507
POSITIVE,1,平成初期はこの曲みたいなシンセに合う抑揚のないきっちりした歌い方したら機械みたいのどうのと叩かれたもんだけど今はそれどころかぶっちぎりでビルボード一位だもんなぁ…時代は流れたというか良い時代になりましたてか凄いよピッチは正確だし息継ぎどこでするんだだし,0.9685
POSITIVE,1,YOASOBlのアイドルを知ってますYOASOBlのアイドルの歌詞を付け来ると大雅はアイドルを知ってますからね推しの子観てます❤大好きです❤,0.9887
NEGATIVE,-1,なんかコメ欄変じゃね,0.7999
POSITIVE,1,こんなに原作に沿った曲を作れるなんてYOASOBIの才能がズバ抜けて良すぎる…,0.9824
NEUTRAL,0,この前女子の前で歌わされた…,0.6302
POSITIVE,1,今年の紅白に出なかったら絶対におかしい出るの楽しみにして期待してます😊,0.9666
NEUTRAL,0,なんか動画変わってない,0.6561
NEUTRAL,0,のらりくらり,0.6527
POSITIVE,0,公開半年3.3億再生どれくらい異次元かは公開から半年間毎日183万再生されている計算になるというデータからもお分かりいただけるだろう,0.8884
NEUTRAL,0,試薬試供品アイドルmad2,0.8179
NEUTRAL,0,横浜fm×広島東洋カープ,0.9428
POSITIVE,1,神曲すぎて何回再生させるんだよ200回は見てるおかげでヒカキンverも推せるようになった,0.9861
POSITIVE,1,I wish I would have so many likes..こんなにたくさんのいいねがあればいいのに..,0.5321
POSITIVE,0,誰もが目を奪われてく君は完璧で究極の,0.9397
NEUTRAL,-1,なんでこんなクッソみてぇな曲がはやってんだおわってんなw,0.67
NEUTRAL,0,本日の再生数は834314回です先週の今日が917485回なので先週比は90.9%です3連休の反動か10%減の再生数に…連日の記録からするとやや寂しい結果となりました本日はアイネクライネの再生数を抜き邦楽ランキングは7位に🎉✳︎PPAPとTokyo driftを除くと5位,0.6995
POSITIVE,1,この曲は一生伸び続ける気がするアイドルマジ神曲,0.9785
POSITIVE,1,Ayaseは日本のアーティストの楽曲を聴いて音楽にハマりだしたと聞いた事があるが今回の成功はまさにそこなのかもしれない変に洋楽に影響を受け過ぎず寄せないでj-popの中でj-popとして進化して行ったのが逆に世界に通用したのではと素人なりに考察してみた,0.7531
POSITIVE,1,この曲はこのまま10年後くらいまで人気位のミュージックビデオってなってほしい,0.7518
NEUTRAL,0,ラタナキリには?をしても,0.84
NEUTRAL,0,ゲッター,0.9013
POSITIVE,1,ァァ可愛い❤,0.9903
POSITIVE,0,無敵の笑顔であらすメディア,0.9668
NEUTRAL,0,アイドル3.3933億回←←←今ココ怪物3.0837億回夜に駆ける2.7055億回群青1.5202億回たぶん1.0758億回あの夢をなぞって9720万回ハルジオン9622万回祝福7838万回三原色7357万回アンコール6972万回ハルカ5941万回ラブレター3814万回優しい彗星3384万回アイドルEnglish ver.2828万回ツバメ2409万回大正浪漫2217万回もしも命が描けたら2158万回もう少しだけ1843万回セブンティーン1530万回アドベンチャー1459万回勇者1016万回,0.6508
NEUTRAL,0,うわぁ4位になってる,0.7066
NEGATIVE,0,これは岡村さん無理かな,0.8763
NEUTRAL,0,アイ好きな人いますかー❓,0.6706
POSITIVE,0,ヒカキンがアイドル再生して下さいって土下座したらヒカキッズが再生しまくるんじゃねよしヒカキン土下座しやがれ下さい,0.8123
POSITIVE,0,あのちゃんの電電電波でのトーク面白かったね,0.9917
NEGATIVE,-1,"アニメに特化しているし""推しの子""も知らないので曲のイメージだけだけど""夜をかける""以後YOASOBIさんに感情移入が出来ないA I感が増し増しでいくらさん以外が歌っても誰でも完成するボカロ感で流れて行くとあくまで個人的感想",0.7301
POSITIVE,0,さぁあと75万だ,0.4694
POSITIVE,1,推しの子この間アニメで見たすっごい面白かったから早めに,0.9686
POSITIVE,1,1ヶ月ぶりに聴きに来たけど……やばいねこれまたハマるわアイドル中毒訳してアル中ね,0.9727
NEUTRAL,0,さぁあと77万だ,0.4534
NEUTRAL,0,さぁあと78万だ,0.4801
NEUTRAL,1,3.3億視聴すごい🎉😆,0.4931
POSITIVE,1,きけばきくほど好きになる❣️さすがYOASOBI❤押しの子知らないけどこの曲好きです❗,0.9833
POSITIVE,0,くわああああああああああああああああああああああああさあ,0.7924
NEUTRAL,0,さぁあと79万だ,0.5023
POSITIVE,1,アイの絵が最高,0.9901
NEUTRAL,0,さぁあと80万だ,0.4723
NEUTRAL,1,この曲は歴史に残る一曲,0.5246
POSITIVE,0,伸びろよ♪伸びろよ♪視聴者のびろ♪,0.9661
NEUTRAL,0,運動会でこの曲のダンスするんだがwww,0.8905
POSITIVE,1,yoaso bi最高でした😊❤,0.9908
NEUTRAL,0,推しの子見てて,0.7213
POSITIVE,0,ticktockで良く耳にしててそこから来ました笑これから原作読ませていただきます,0.9395
POSITIVE,0,今後3年以内には邦楽史上1位になると予想!,0.9602
POSITIVE,1,いいわ,0.9807
POSITIVE,1,可愛い❤️🎉😮😊😅すごい👍って😍😍😍👏👏🎉🎉🎉🎉🎉🎉🎉🎉,0.9882
POSITIVE,1,今でも勢いありすぎて草,0.9047
NEUTRAL,0,日本の曲で1番高評価多いんじゃない,0.6347
NEGATIVE,1,推しの子の広がり方が異常,0.7351
POSITIVE,0,Loserに続き米津玄師四天王の一角アイネクライネを撃破あとは打上花火とLemonの2つ,0.6707
NEGATIVE,0,泣いた,0.5161
POSITIVE,0,多分明日10/123.4億再生に到達する,0.7801
POSITIVE,1,ほしのアイちゃん可愛すぎんだろ❤,0.9883
NEUTRAL,1,これは絶対嘘じゃない愛してるの部分で涙腺が崩壊する,0.626
POSITIVE,1,アニソンで一番最高な曲だと思う,0.9656
NEUTRAL,1,もう何千回聴いたか…5000回6000回車内浴室就寝中に流す曲は決まってアイドルばっかり😅,0.7834
POSITIVE,0,次の目標は4億再生そして白日&Pretenderどっちも日本を代表する神曲ここからの1億再生は近そうで遠い,0.8296
NEUTRAL,0,シングル化して欲しい,0.498
POSITIVE,1,yoasobiのおかげで日本の音楽の底力本気を世界に見せつけられたと思うyoasobiを筆頭にJ-POPもK-POPに並ぶくらい音楽界を盛り上げて欲しい,0.9677
NEUTRAL,0,今でもよく見るよって人👇,0.7556
NEGATIVE,1,アニメを見る前はテンポよくて楽しい曲だな位に思ってたけどアニメ見た後だと再生する度に涙腺がゆるむ…,0.7228
POSITIVE,1,おっと3.39億再生ですねおめでとう🎉🎉🎉,0.9791
POSITIVE,1,アイネクライネ超えたおめでとう🎉次の目標は白日❗,0.9769
POSITIVE,0,文化祭で踊ることになったんだけどキツイwwwwww,0.4349
POSITIVE,0,3.39億再生おめでとうあと100万再生で3.4億だ,0.6118
POSITIVE,0,未だに聴きにきちゃう人🤚,0.7698
POSITIVE,1,いい曲ですね,0.988
POSITIVE,0,❤❤❤❤❤❤❤❤❤❤😮😮😮😮😮😮😮😮😮😮😅😅😅😅😅😅😅😅😅😅今年の一文字は愛だ,0.9428
NEUTRAL,0,コ•ノ゙•お,0.7412
NEGATIVE,-1,イジメられてるんだから当然だろ,0.8679
POSITIVE,1,この小さな宝石を聞いた後私の耳は祝福されまし✨✨あなたは日本人ではないので私がよく書いたことを願っています,0.9725
POSITIVE,0,アニメを見てこそこの歌詞の意味がよく分かる曲だと改めて思いました,0.965
POSITIVE,0,今年の紅白歌合戦は間違いない😊YOASOBIはこれ一択,0.8252
NEUTRAL,0,勇者よりもアイドルが好きな同士おらん,0.5638
NEUTRAL,1,しかしよくこんなトラック作ったなayaseは,0.7435
NEUTRAL,0,夜は外国語が増えるね,0.8881
POSITIVE,1,歴史が変わる代表的な曲だなー,0.5583
NEUTRAL,0,3億4000万回までもうすぐ,0.6481
POSITIVE,1,アイドルという曲のタイトルのネーミングセンスが凄いわ,0.9509
NEUTRAL,0,また勇者上回ってしまったか勇者も聴いてくれ,0.5677
POSITIVE,0,本日の再生数は868279回です先週の今日が853423回なので先週比は101.7%です明日は邦楽ランキングを1つ上げそうですね,0.9511
POSITIVE,0,君は完璧で究極のアイドル,0.9813
POSITIVE,1,この曲が大好き!!,0.9932
NEGATIVE,1,この曲は引き離せられるくらいにやばい,0.4843
POSITIVE,1,個人的今年の好きな曲ランキングトップ3アイドルhero勇者何も考えてなかったけど全部YOASOBIかAyaseさんやん,0.7257
NEUTRAL,0,単純計算で再生数はアイネクライネの19倍の速度,0.7665
POSITIVE,0,アイネクライネまであと60万再生,0.6314
NEGATIVE,0,何度聞いても背筋がゾクゾクして聞けば聞くほど悲しいが増幅されて涙が溢れそうになってしまう…,0.988
NEUTRAL,0,アイドルのような超大ヒットする曲は金輪際現れなそう,0.7631
NEGATIVE,1,どう考えてもこの曲が今年2023年のレコ大大賞でしょもしそうじゃなかったら間違いなく世論は荒れるネット炎上する,0.9129
POSITIVE,0,(・ω・(ヾ)YES(˶✪‎ࠏ< ˶)嘘はねとびきりの愛なんだよ︎︎💕︎,0.4002
POSITIVE,1,絶対に歴史の教科書に乗る曲,0.7592
POSITIVE,0,多分今回紅白出る気がする,0.8944
NEUTRAL,0,運動会で踊る曲❤,0.8597
POSITIVE,1,とても良い曲です何も言えません言葉がありませんとても良い曲ですあなたの歌が大好きです,0.9871
POSITIVE,0,学校の先生たちが流行りに乗ってそれで体育祭のダンスアイドルって凄いよな👏,0.7464
POSITIVE,1,TVerで初耳学観たけど最高だった四部作の曲をちゃんと聴き直してみようと感じたわ結論言うとYOASOBIって本当に名曲神曲だらけなんだなと,0.9642
POSITIVE,1,YOASOBIはアイドル夜に駆ける怪物の3強はもちろん群青あの夢をなぞってハルジオン等の中上層祝福三原色アンコール等の中層も強い下層もストリーミングでは1億超えの曲が多数もう日本一のアーティストでは🤔,0.6702
NEUTRAL,0,このまま四億再生行く確率↓↓↓↓(100が限界とは言っていない),0.9047
NEGATIVE,1,もう完全に覚えた😊,0.6834
NEGATIVE,0,歌って検索して広告より上に出てくるのはもうほんとにねほらおーん,0.8964
POSITIVE,1,好,0.9846
POSITIVE,0,星野アイてあんまりみたてきないおもろいのかわいいやつおしえて,0.9752
NEGATIVE,0,いい曲なのにみんな再生回数のことしか言っていないの草生える,0.8614
NEGATIVE,0,もう10月も中旬かぁ…今年アイドルには及ばずとも流行った曲ってあったっけ自分はあまり記憶にない,0.6674
POSITIVE,1,間違えなくJ-POPの歴史を塗り替えた神曲,0.9566
POSITIVE,1,すげぇよ😇😇,0.5957
NEUTRAL,1,まだ人気MV4位やばすぎだろw人気が劣ることを知らないMVで草,0.6582
NEUTRAL,0,原作は◯術◯戦程売れてはいないのになんでこんな再生数になったの,0.7515
NEUTRAL,0,Ayaseさんのアイドルは絶対再生数追い抜かれないと思う人,0.565
NEUTRAL,0,な,0.8369
NEUTRAL,0,まだ聴いている人,0.8381
NEUTRAL,1,昔のアイドルと今のアイドルはまったく違います昔のアイドルはこの曲を歌えない今のアイドルは歌える,0.8311
POSITIVE,1,高評価370万おめでとう🎉,0.9857
POSITIVE,0,122ありがとう,0.9719
POSITIVE,1,日本の音楽業界を完全に変えた最高の曲,0.9629
NEUTRAL,0,れて,0.8125
POSITIVE,1,大好です❤🎉1:34,0.9484
POSITIVE,1,あと数日で公開から半年が経とうとしているのに人気4位を獲得中なの凄すぎる,0.9035
POSITIVE,0,早くシーズン2来てほしい人ー🖐️,0.5537
NEUTRAL,0,ミー・インディア・セ・フ・ガワール・ソング・パサンド・ハイ,0.5883
POSITIVE,1,推しの子の神回第一話と神歌のマリアージュが半端ないミシュラン三ツ星を超えた🎉,0.9643
NEUTRAL,0,さぁあと183万だ,0.5738
POSITIVE,1,"Even though I haven't watched the anime yet, I am utterly addicted to this song. The concept, lyrics, and MV animation are totally perfectさすが天才様",0.8983
POSITIVE,1,3.38億再生おめでとう🎉🎉アイネクライネ抜いたねここからが長いしかし為せば成る,0.9752
POSITIVE,1,日本ってすごいよねアニメとか作れるし神曲だって作れる協力する時はするし日本に生まれてよかった…,0.9887
NEGATIVE,0,COWCOWみたいなやついて困惑w,0.9256
POSITIVE,1,5.5億すげぇ,0.838
POSITIVE,1,YOASOBI真剣に作った素敵な曲ですね毎日飽きたときにこの曲を見るとこの曲が大好きです340Mまでもうすぐですおめでとうございます✌️♥️🥰,0.9865
NEGATIVE,-1,やっとアイドル一強の時代が終わった...,0.5656
NEUTRAL,0,また三連休でキッズイベントで丸儲……楽しんできたやはりと言うか今は子供達はAdoの唱への反応が強いそんな中アイドルで可愛く踊り出す子供にはこっそりサービスしているのはここだけの話にしておこう,0.7192
NEUTRAL,1,5か月経って人気4位のミュージックビデオはおかしいw,0.6393
POSITIVE,1,Ayase様の天才的過ぎる作曲然りあまりにも繊細すぎるアレンジ然りこの人を超えた歌を歌いきるりら様然りほんとに最強で無敵の2人だと何度聴いても思う,0.9409
POSITIVE,1,紅白に出てほしい‼️絶対に‼️,0.9709
POSITIVE,1,大バズリだな,0.9017
POSITIVE,1,アイネクライネ抜いて邦楽TOP5入りします!おめでとうございます!,0.994
POSITIVE,1,何回も聞いてるのに飽きない神曲🤣‪👍🏻,0.9693
NEUTRAL,0,レコード大賞はアイドルとおひとりさま天国の一騎打ちかな,0.5992
POSITIVE,0,レコード大賞と紅白は決まりだな,0.6181
POSITIVE,0,2023年中に4億行かせたい,0.58
POSITIVE,0,本日の再生数は1048983回です先週の今日が848258回なので先週比はなんとなんと123.7%🎉20時過ぎの時点で既に前週を上回っていましたがまさかここまでとは…祝日とはいえ月曜日としては9月4日以来の再生数を記録しました🎉↓ライバル曲の本日の再生数粛聖ロリ神レクイエム1324005回唱1185221回勇者654190回トドメの一撃feat.Cory Wong1236551回,0.5023
POSITIVE,0,これワンピースのウタみたいに3Dで会場でアイに歌わせてほしい,0.9223
POSITIVE,0,今年の流行語大賞ひき肉ですとアイドルでええやろ,0.9729
NEUTRAL,0,アニソンランキングアイドルの圧勝だから令和平成昭和に分けた説,0.8812
NEGATIVE,0,レコード大賞がこれじゃないのは有り得ない,0.6967
NEUTRAL,1,これはレコ大貰ったなアイドルが強すぎるし他に目立った曲がないアイドルの一強状態,0.6405
POSITIVE,1,なんか人気すぎて聞く気になれなかったけど聞いてみたらめっちゃいい曲でしたごめんなさい,0.9898
POSITIVE,1,YouTubeに在る日本の歌で1番最初に10億回再生を飾る余地のある名曲🤩,0.8865
NEUTRAL,0,三連休最終日だからってコメントを絶やすな,0.6269
POSITIVE,1,アニソンランキング1位おめでとう㊗️,0.9879
POSITIVE,1,今年を代表する曲を超えアニソンを代表する曲を超え日本を代表する曲になったたったの半年で,0.6618
NEGATIVE,1,しばらく経ったが未だに再生回数の伸びを見せてくれとるわい…,0.8821
POSITIVE,1,今更ながら推しの子を一気見したかなり前からアニメや曲の紹介はされてたものの訳ありで見れてなかった為今回見る事が出来たかなり良くてハマった,0.9921
POSITIVE,0,YOASOBIとAdoさんと初音ミクのトリプルコラボも見たい❗️,0.9753
POSITIVE,0,やはり再生数早いね,0.6567
POSITIVE,1,6ヶ月連続1位おめでとうございますこれからもずっと応援してます🥺🔥,0.9848
POSITIVE,0,年内で4億回再生出来る予感しかしないです初耳学を見て1:39の誰よりも強い君以外は認めない2:34のないの部分の歌い方とか裏話が知れて良かったです,0.9873
POSITIVE,0,今年のレコード大賞はアイドルで決まりっしょ❗️,0.9632
NEUTRAL,0,なんか日清のカップラーメンの音と似てるんだよね,0.8815
POSITIVE,1,神,0.9014
NEUTRAL,0,さぁあと240万だ,0.4696
POSITIVE,1,とてもエキサイティング,0.6583
NEGATIVE,0,今更アニメ全部一気見したけど見る前と後じゃ全く印象違うわ,0.6229
NEGATIVE,0,でもどうしてフォロワーが500人もいるのですか,0.5522
POSITIVE,0,紅白出場の発表来たらまたフワッと盛り上がるはず,0.9471
NEGATIVE,1,人気順でコメント見てるはずなのに最近のコメントが上に来るの流石すぎる,0.5574
NEUTRAL,0,2023年でも見てる人🙋‍♀️🙋‍♂️,0.6002
NEUTRAL,0,勇者に抜かされるかな,0.8134
NEUTRAL,0,幾田りらだからいくらか,0.8657
POSITIVE,0,みんなそうゆう感じでいいね稼ぐんだね,0.9416
NEGATIVE,0,紅白歌合戦来てくれ❗あと2ヶ月ぐらいだ,0.8252
POSITIVE,1,全部の歌詞が好き,0.9903
NEUTRAL,0,うたはどうやってつくってるんですか,0.9244
NEUTRAL,0,さぁあと251万だ,0.4112
NEUTRAL,1,怪物3年かけて3億なのにアイドル5ヶ月で3億はやばすぎるw,0.5414
POSITIVE,1,2:31ここからの歌詞が大好きです,0.9912
POSITIVE,1,凄すぎるのいきをはるかに超えている,0.7493
POSITIVE,0,0:57究極のゲッター♪,0.9787
POSITIVE,0,おしのこいっぱいみてます,0.6095
NEGATIVE,0,ツバメ,0.8858
NEUTRAL,0,アイドルがロリ神に負けてます(),0.5838
NEGATIVE,-1,流石に人気ランキング落ちちゃったか……老いを感じる,0.9898
POSITIVE,1,YOASOBI Ayase素晴らしい作詞作曲✴️Ikuraちゃんそれを完璧に歌い上げる歌唱力💖共に天才的なミュージシャン✴️,0.9744
NEUTRAL,0,知らん間に三億超えてるやんえ怪物超えたん,0.5919
POSITIVE,1,原作見てからだとアイちゃんの死んだシーンがフラッシュバックしてしまうくらいにピッチリ合う神曲色な意味で心が軋む,0.5362
NEUTRAL,0,3.3..億....だと...........邦楽再生回数ランキング7位やん,0.757
NEGATIVE,0,この曲聴いた後に推しの子見たもんだから主人公かと思ったのが1話で退場して驚きを隠せなかった,0.5289
NEGATIVE,0,⚠️原作ネタバレ⚠️原作コメント218話No.830みて今見直したんだけど確かに黒アイ演じてるルビー説あるねてっきり裏側を黒として表してるだけかと思っけど目の色といいその線有りうるわぁ……YOASOBIさんの祝福とかまんまストーリーを案じてしたし怖いお,0.8571
NEUTRAL,0,令和の象徴,0.5146
POSITIVE,1,可愛い😂❤笑笑笑,0.9856
POSITIVE,1,この歌好き❤😂笑,0.9844
NEUTRAL,0,わーお😂,0.8597
POSITIVE,-1,何故これが人気になるのか分からなかったオールドファンからすると例えばユーミンや渡辺真知子シャランQ等に比べると日本語の乗せ方が絶妙になっていてリズムと歌詞のバランスがとても良いその点ではより現代的な楽曲なんだろうと思います少しYoasobiの曲を聴いて見て私の大好きなBeatlesやLed Zeppと対比してみようかなと思いました,0.8072
NEGATIVE,1,アニメもアイドルも中毒性高くて何回も見てしまう同じ人🙋‍♀️,0.8047
POSITIVE,0,これYouTubeに上げたいんでこの曲借りてもいいですか,0.887
POSITIVE,1,だいだいだいすき,0.9881
POSITIVE,1,これほどの影響力を持っているのもそれだけ完璧で究極の魅力的な曲だと言うこと,0.939
POSITIVE,1,AKBを先頭にしたアイドルが日本の音楽会を盛り上げてた時期が落ち着きを見せてつつある今このアニメがアイドルってこういう辛さとか苦労があったよねっていうのを後日談的に語ってる感があって好き,0.9738
POSITIVE,0,紅白出てほしい,0.8929
POSITIVE,1,物語とぴったりすぎて鳥肌たちました笑,0.9787
POSITIVE,1,神曲,0.9224
POSITIVE,1,これは本当に素晴らしい作品で私はこの曲が大好きで世界的にヒットしましたYOASOBI,0.9864
NEUTRAL,0,だれかこのきょくぶんしょうでかいてくれ,0.5137
NEGATIVE,1,何回聞いても飽きん,0.9928
POSITIVE,1,アニメの1話を見てから聴くと涙がでてくるこれだけ歌詞に込められてるのすごい,0.9794
NEUTRAL,0,レコ大もろたろこれ,0.6146
POSITIVE,0,ミスター10回程聴いてきたよやはり1000万再生数以下と言うのはおかしい楽曲だわ今度はセブンティーンに行くよアイドルは当然聴きながらね,0.5472
NEGATIVE,0,やばい…米津のアイネクライネを抜かしそう😮←唖然,0.9794
POSITIVE,0,紅白出ると思う人🙆‍♀️ဗီူဗီူဗီူဗီူ⬇️,0.4931
POSITIVE,1,令和のアニソンランキング1位おめでとうございます🎉,0.9813
POSITIVE,0,❤人生の最期に聴きたい曲1位❤字幕付けたらアイドルがiphoneになってた😂,0.8058
NEUTRAL,0,でも日本曲ランキング4位になってるー😢,0.5091
NEUTRAL,1,*-サイコー-*,0.8208
POSITIVE,0,これもうレコード大賞な気がする,0.7936
POSITIVE,0,流石に時間たったから人気一位は無いか,0.5999
NEUTRAL,0,紅白お願いです,0.8559
POSITIVE,1,いつかは米津玄師さんのLemonこえていくってかアイドルは間違いなく来年今頃には5億いくと思う推し🎉🎉🎉,0.96
NEUTRAL,0,2021夜に駆ける2023アイドル,0.8184
POSITIVE,0,今3億3700万回再生,0.5106
POSITIVE,1,今後アニソン界で抜かされることのない圧倒的1位の座に君臨したアイドルと言う怪物,0.7345
NEGATIVE,-1,歌詞に深い意味がある訳でもなく言葉通りの歌詞ある意味言葉の裏の意味を読み取ることが出来ないZ世代向けに作られた曲なんだなぁと感じます,0.7613
POSITIVE,1,この曲は聴き続けても飽きません,0.5675
POSITIVE,0,ロリ神海外でバズってるちゃうんかいw2位に食い込まれてる,0.9695
POSITIVE,1,間違いなく今世紀を代表する曲,0.8046
NEUTRAL,0,12月31日再生数予想4億回,0.7717
NEUTRAL,0,さぁあと298万だ,0.4843
NEUTRAL,1,3.3億回再生すごす…一度でも聞くとサビの辺りが頭に残って自動でエンドレス🎵アニメはまだ観た事ないけど,0.5786
NEGATIVE,1,驚くほど飽きねぇ...😱,0.9921
POSITIVE,1,お疲れ様でしたこれからも応援してます📣頑張って下さいね😉3:36,0.8941
POSITIVE,1,大好き💕😘,0.9888
NEUTRAL,0,い,0.5108
NEUTRAL,0,空虚な世界で真実の愛を求める,0.5114
NEUTRAL,0,あ,0.5809
POSITIVE,1,この曲神曲ですね2:45 ←この場面好き,0.9818
POSITIVE,1,気づいたら3.3億でチャンネルで一番再生されててすごすぎるんだ,0.659
POSITIVE,1,推しの子のアニメ先行上映初日行ったけどこの曲がこれほどまでに人気になるなんて思ってなかった😂嬉しい,0.9887
POSITIVE,1,大好きな,0.9859
POSITIVE,1,(今年の)アイドルがアイドル歌ってるの好き,0.9882
NEGATIVE,-1,たぶん今年の紅白ではこの歌が選曲されるんだけど歌詞が歌詞だから何も知らない大人がNHKが世間の騒動を反映させて選曲したんだなとか言い出しそう感はあって複雑,0.5975
POSITIVE,1,YOASOBIファンでも推しの子ファンでもないけどこの明るくて盛り上がるのにどこか物悲しさもあるサビのメロディがアイのキャラクターとマッチし過ぎてて好き,0.9928
NEUTRAL,0,実は年末まであと12週間しかありません4億まで残り6340万結構ギリギリ,0.4841
NEGATIVE,1,YOASOBIは天才だいや天才超えてもはや……なんだ…語彙力無いから言うのやめた,0.9632
NEGATIVE,1,やはり中毒性がエグい,0.9906
NEUTRAL,0,今週1週間の再生数は6543322回です先週の再生数は6684733回なので先週比は97.9%でした,0.8274
POSITIVE,1,RABから来ました(リアルアキバボーイズ)まさかまさか合いの手愛の手完璧過ぎる,0.9788
POSITIVE,0,原作やアニメよりこのMVが完成形だろこれだけでいい,0.9695
NEUTRAL,0,反応動画見て一つ思ったのだけど讃美歌のようなコーラスってアイに対するクソうるせぇ讃歌でコーレスでアイドルに向けられた賛美なのか,0.5882
POSITIVE,0,本日の再生数は1082290回です先週の今日が1023359回なので先週比はなんと105.8%と大幅上昇🎉初耳学最高でしたね録画したから明日もっかい見よこの勢いのまま明日も100万再生いけるのでしょうか⁉︎,0.9501
POSITIVE,0,2023年も聴いてる人🙋,0.5441
NEUTRAL,1,未だ一日100万単位で伸びてんのおかおか,0.7189
POSITIVE,1,アニソンで半年立たずで3億再生ってヤバすぎる常識すら超える曲で凄すぎる,0.9602
POSITIVE,0,ユーミンの宿題と言うのがいいねアヤセが中央ハイウェイをどの様に作り上げるのかそしてそれをイクラがどの様に歌うのか楽しみ……楽しみ,0.983
NEUTRAL,0,日本語でない部分はどこの言葉ですか,0.7897
POSITIVE,1,5ヶ月経った今でもずっと人気ミュージックの1曲として残ってるのさすが神曲,0.9756
NEUTRAL,0,YOASOBIも言っていたろミスターとセブンティーンは良いと聴かないとあかんでセブンティーンの再生数は上がってきているまだまだ伸びしろありまくり,0.4835
NEUTRAL,1,YOASOBIの曲は無意識にノリノリになってしまう曲だな😊,0.8092
NEGATIVE,0,初見学見逃し_|￣|○ガクッ,0.9908
POSITIVE,1,顔立ちが綺麗で歌唱力抜群でスタイル抜群でパーフェクト,0.9796
POSITIVE,1,これは後世に残すべき神曲,0.9669
NEUTRAL,0,これからは社会主義の時代だ年金じゃーこの論文を見てくれマズロー欲求段階説は間違っています気分や痛みに影響するのは物質摂取と良い睡眠とそれらを痛み無く楽して継続できる能力が無いと思うと恐怖して体が痛み精神病になりますだから栄養摂取と良い睡眠と現在の社会状況ならば分業して沢山お金を稼いで必需品を年間100万円出して買うのが良いと思います家賃を考えれば140万ですこの事実は強い者が弱いものを助ける社会へと導くでしょう金を多く持っていても労働で痛み無く簡単に稼げる人は株式投資などする意味はないでしょうやはり自分の力はなかなか身から離れないですから稼げない人に食べ物や電気や家を分け与えるでしょう年収500万円とかのサラリーマンは世界が変わりそうですただ人間を気分良くさせる痛みを無くしそうと期待させるドパミンを出す女とか性は無駄だと気付いて需要が減り始めていますただ人を期待させる力は強いからDXでコスト安く値段安く多くの人をだまして売上を増やして見かけ上の需要が増えてるように見えるけどみんな気付いてます需要は確実に減ってます痛みを減らす気分を良くするなど期待させるが全く効果が無いからです笑いとかもその類ですまたおだてなどは栄養摂取や良い睡眠を継続して得る能力が高くなったと思わせて自信の無い人間の恐怖を減らす効果はあると思います寝ますどう思いますか,0.772
NEGATIVE,1,10年後も聞き続けられてるであろうほど中毒性がある,0.7722
POSITIVE,1,初耳学からきました初見さんですこの曲はいいですね,0.9898
POSITIVE,1,初耳学最高だった鳥肌がすごいというか全身震えてるあー最高,0.9856
NEUTRAL,0,星野アイって星のアイアイ目星の目ってことか,0.9614
NEUTRAL,0,初耳学に夢中だからってコメントを絶やすな,0.6255
