,label,humanLabel,text,score
556,POSITIVE,0,多分 明日 10 / 123 . 4億 再生 に 到達 する ,0.7801
557,POSITIVE,1,ほし の アイちゃん 可愛 すぎ んだ ろ ❤ ,0.9883
558,NEUTRAL,1,これ は 絶対 嘘 じゃ ない 愛して る の 部分 で 涙腺 が 崩壊 する ,0.626
559,POSITIVE,1,アニソン で 一番 最高な 曲 だ と 思う ,0.9656
560,NEUTRAL,1,もう 何千 回 聴いた か … 5000 回 6000 回 車 内 浴室 就寝 中 に 流す 曲 は 決まって アイドル ばっかり 😅 ,0.7834
561,POSITIVE,0,次の 目標 は 4億 再生 そして 白日 & Pretender どっち も 日本 を 代表 する 神曲 ここ から の 1億 再生 は 近 そうで 遠い ,0.8296
562,NEUTRAL,0,シングル 化 して 欲しい ,0.498
563,POSITIVE,1,yoasobi の おかげ で 日本 の 音楽 の 底力 本気 を 世界 に 見せつけ られた と 思う yoasobi を 筆頭 に J - POP も K - POP に 並ぶ くらい 音楽 界 を 盛り上げて 欲しい ,0.9677
564,NEUTRAL,0,今 でも よく 見る よ って 人 👇 ,0.7556
565,NEGATIVE,1,アニメ を 見る 前 は テンポ よくて 楽しい 曲 だ な 位 に 思って た けど アニメ 見た 後 だ と 再生 する 度 に 涙腺 が ゆるむ … ,0.7228
566,POSITIVE,1,おっと 3 . 39億 再生 です ね お めで とう 🎉🎉 🎉 ,0.9791
567,POSITIVE,1,アイネクライネ 超えた お めで とう 🎉次 の 目標 は 白日 ❗ ,0.9769
568,POSITIVE,0,文化 祭 で 踊る こと に なった んだ けど キツイ wwwwww ,0.4349
569,POSITIVE,0,3 . 39億 再生 おめでとう あと 100万 再生 で 3 . 4億 だ ,0.6118
570,POSITIVE,0,未だに 聴き に きちゃ う 人 🤚 ,0.7698
571,POSITIVE,1,いい 曲 です ね ,0.988
572,POSITIVE,0,❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ 😮😮 😮😮 😮😮 😮😮 😮😮 😅😅 😅😅 😅😅 😅😅 😅😅 今年 の 一文字 は 愛 だ ,0.9428
573,NEUTRAL,0,コ • ノ ゙ • お ,0.7412
574,NEGATIVE,-1,イジメ られて る んだ から 当然だろ ,0.8679
575,POSITIVE,1,この 小さな 宝石 を 聞いた 後 私 の 耳 は 祝福 さ れ まし ✨ ✨ あなた は 日本 人 で は ない ので 私 が よく 書いた こと を 願って い ます ,0.9725
576,POSITIVE,0,アニメ を 見て こそ この 歌詞 の 意味 が よく 分かる 曲 だ と 改めて 思い ました ,0.965
577,POSITIVE,0,今年 の 紅白 歌 合戦 は 間違い ない 😊 YOASOBI は これ 一 択 ,0.8252
578,NEUTRAL,0,勇者 より も アイドル が 好きな 同士 おら ん ,0.5638
579,NEUTRAL,1,しかし よく こんな トラック 作った な ayase は ,0.7435
580,NEUTRAL,0,夜 は 外国 語 が 増える ね ,0.8881
581,POSITIVE,1,歴史 が 変わる 代表 的な 曲 だなー ,0.5583
582,NEUTRAL,0,3億4000万 回 まで もう すぐ ,0.6481
583,POSITIVE,1,アイドル と いう 曲 の タイトル の ネーミング センス が 凄い わ ,0.9509
584,NEUTRAL,0,また 勇者 上回って しまった か 勇者 も 聴いて くれ ,0.5677
585,POSITIVE,0,本日 の 再生 数 は 868279 回 です 先週 の 今日 が 853423 回 な ので 先週 比 は 101 .7 % です 明日 は 邦楽 ランキング を 1 つ 上げ そうです ね ,0.9511
586,POSITIVE,0,君 は 完璧で 究極 の アイドル ,0.9813
587,POSITIVE,1,この 曲 が 大好き !! ,0.9932
588,NEGATIVE,1,この 曲 は 引き離せ られる くらい に やばい ,0.4843
589,POSITIVE,1,個人 的 今年 の 好きな 曲 ランキング トップ 3 アイドル hero 勇者 何も 考えて なかった けど 全部 YOASOBI か Ayase さん やん ,0.7257
590,NEUTRAL,0,単純 計算 で 再生 数 は アイネクライネ の 19 倍 の 速度 ,0.7665
591,POSITIVE,0,アイネクライネ まで あと 60万 再生 ,0.6314
592,NEGATIVE,0,何 度 聞いて も 背筋 が ゾクゾク して 聞けば 聞く ほど 悲しい が 増幅 さ れて 涙 が 溢れ そうに なって しまう … ,0.988
593,NEUTRAL,0,アイドル の ような 超 大 ヒット する 曲 は 金輪際 現れ な そう ,0.7631
594,NEGATIVE,1,どう 考えて も この 曲 が 今年 2023 年 の レコ 大 大賞 でしょ も し そうじゃ なかったら 間違い なく 世論 は 荒れる ネット 炎上 する ,0.9129
595,POSITIVE,0,( ・ ω ・ ( ヾ ) YES ( ˶ ✪ ‎ ࠏ < ˶ ) 嘘 は ね とびきり の 愛 な んだ よ ︎ ︎ 💕︎ ,0.4002
596,POSITIVE,1,絶対 に 歴史 の 教科 書 に 乗る 曲 ,0.7592
597,POSITIVE,0,多分 今回 紅白 出る 気 が する ,0.8944
598,NEUTRAL,0,運動 会 で 踊る 曲 ❤ ,0.8597
599,POSITIVE,1,とても 良い 曲 です 何も 言え ませ ん 言葉 が あり ませ ん とても 良い 曲 です あなた の 歌 が 大好きです ,0.9871
600,POSITIVE,0,学校 の 先生 たち が 流行り に 乗って それ で 体育 祭 の ダンス アイドル って 凄い よ な 👏 ,0.7464
601,POSITIVE,1,TVer で 初耳 学 観た けど 最高だった 四部作 の 曲 を ちゃんと 聴き 直して みよう と 感じた わ 結論 言う と YOASOBI って 本当に 名曲 神曲 だらけ な んだ な と ,0.9642
602,POSITIVE,1,YOASOBI は アイドル 夜 に 駆ける 怪物 の 3 強 は もちろん 群青 あの 夢 を なぞって ハルジオン 等 の 中 上層 祝福 三原色 アンコール 等 の 中層 も 強い 下層 も ストリーミング で は 1億 超え の 曲 が 多数 もう 日本 一 の アーティスト で は 🤔 ,0.6702
603,NEUTRAL,0,このまま 四億 再生 行く 確率 ↓ ↓ ↓ ↓ ( 100 が 限界 と は 言って い ない ) ,0.9047
604,NEGATIVE,1,もう 完全に 覚えた 😊 ,0.6834
605,NEGATIVE,0,歌って 検索 して 広告 より 上 に 出て くる の は もう ほんとに ね ほら おーん ,0.8964
606,POSITIVE,1,好 ,0.9846
607,POSITIVE,0,星野 アイ て あんまり みたて き ない おもろい の かわいい やつ おしえて ,0.9752
608,NEGATIVE,0,いい 曲 な のに みんな 再生 回数 の こと しか 言って い ない の 草 生える ,0.8614
609,NEGATIVE,0,もう 10 月 も 中旬 かぁ … 今年 アイドル に は 及ば ず と も 流行った 曲って あった っけ 自分 は あまり 記憶 に ない ,0.6674
610,POSITIVE,1,間違え なく J - POP の 歴史 を 塗り 替えた 神曲 ,0.9566
611,POSITIVE,1,すげぇ よ 😇😇 ,0.5957
612,NEUTRAL,1,まだ 人気 MV 4 位 やば すぎ だろ w 人気 が 劣る こと を 知ら ない MV で 草 ,0.6582
613,NEUTRAL,0,原作 は ◯ 術 ◯ 戦 程 売れて は い ない のに なんで こんな 再生 数 に なった の ,0.7515
614,NEUTRAL,0,Ayase さん の アイドル は 絶対 再生 数 追い抜か れ ない と 思う 人 ,0.565
615,NEUTRAL,0,な ,0.8369
616,NEUTRAL,0,まだ 聴いて いる 人 ,0.8381
617,NEUTRAL,1,昔 の アイドル と 今 の アイドル は まったく 違い ます 昔 の アイドル は この 曲 を 歌え ない 今 の アイドル は 歌える ,0.8311
618,POSITIVE,1,高 評価 370万 お めで とう 🎉 ,0.9857
619,POSITIVE,0,122 ありがとう ,0.9719
620,POSITIVE,1,日本 の 音楽 業界 を 完全に 変えた 最高の 曲 ,0.9629
621,NEUTRAL,0,れて ,0.8125
622,POSITIVE,1,大好 で す ❤ 🎉 1 : 34 ,0.9484
623,POSITIVE,1,あと 数 日 で 公開 から 半年 が 経とう と して いる のに 人気 4 位 を 獲得 中 な の 凄 すぎる ,0.9035
624,POSITIVE,0,早く シーズン 2 来て ほしい 人 ー 🖐️ ,0.5537
625,NEUTRAL,0,ミー ・ インディア ・ セ ・ フ ・ ガワール ・ ソング ・ パサンド ・ ハイ ,0.5883
626,POSITIVE,1,推し の 子 の 神回 第 一 話 と 神歌 の マリアージュ が 半端 ない ミシュラン 三ツ星 を 超えた 🎉 ,0.9643
627,NEUTRAL,0,さぁあ と 183万 だ ,0.5738
628,POSITIVE,1,"EventhoughIhaven ' twatchedtheanimeyet , Iamutterlyaddictedtothissong . Theconcept , lyrics , andMVanimationaretotallyperfect さす が 天才 様 ",0.8983
629,POSITIVE,1,3 . 38億 再生 お めで とう 🎉🎉 アイネクライネ 抜いた ね ここ から が 長い しかし 為せば 成る ,0.9752
630,POSITIVE,1,日本 って すごい よ ね アニメ と か 作れる し 神曲 だって 作れる 協力 する 時 は する し 日本 に 生まれて よかった … ,0.9887
631,NEGATIVE,0,COWCOW み たい なや ついて 困惑 w ,0.9256
632,POSITIVE,1,5 . 5億 すげぇ ,0.838
633,POSITIVE,1,YOASOBI 真剣 に 作った 素敵な 曲 です ね 毎日 飽きた とき に この 曲 を 見る と この 曲 が 大好きです 340 M まで もう すぐ です おめでとう ございます ✌ ️ ♥ ️ 🥰 ,0.9865
634,NEGATIVE,-1,やっと アイドル 一 強 の 時代 が 終わった . .. ,0.5656
635,NEUTRAL,0,また 三 連休 で キッズ イベント で 丸儲 …… 楽しんで きた やはり と 言う か 今 は 子供 達 は Ado の 唱 へ の 反応 が 強い そんな 中 アイドル で 可愛く 踊り 出す 子供 に は こっそり サービス して いる の は ここ だけ の 話 に して おこう ,0.7192
636,NEUTRAL,1,5 か月 経って 人気 4 位 の ミュージック ビデオ は おかしい w ,0.6393
637,POSITIVE,1,Ayase 様 の 天才 的 過ぎる 作曲 然り あまりに も 繊細 すぎる アレンジ 然り この 人 を 超えた 歌 を 歌い きる りら 様 然り ほんとに 最強で 無敵の 2 人 だ と 何 度 聴いて も 思う ,0.9409
638,POSITIVE,1,紅白 に 出て ほしい ‼ ️ 絶 対 に ‼ ️ ,0.9709
639,POSITIVE,1,大 バズリ だ な ,0.9017
640,POSITIVE,1,アイネクライネ 抜いて 邦楽 TOP 5 入り し ます ! おめでとう ございます ! ,0.994
641,POSITIVE,1,何 回 も 聞いて る の に 飽き ない 神曲 🤣‪ 👍🏻 ,0.9693
642,NEUTRAL,0,レコード 大賞 は アイドル と お ひと り さま 天国 の 一騎打ち か な ,0.5992
643,POSITIVE,0,レコード 大賞 と 紅白 は 決まり だ な ,0.6181
644,POSITIVE,0,2023 年 中 に 4億 行か せ たい ,0.58
645,POSITIVE,0,本日 の 再生 数 は 1048983 回 です 先週 の 今日 が 848258 回 な ので 先週 比 は なんと なんと 123 .7 % 🎉 20 時 過ぎ の 時点 で 既に 前週 を 上回って い ました が まさか ここ まで と は … 祝日 と は いえ 月曜日 と して は 9 月 4 日 以来 の 再生 数 を 記録 し ました 🎉↓ ライバル 曲 の 本日 の 再生 数 粛 聖 ロリ 神 レクイエム 1324005 回 唱 1185221 回 勇者 654190 回 トドメ の 一撃 feat . CoryWong 1236551 回 ,0.5023
646,POSITIVE,0,これ ワンピース の ウタ みたいに 3 D で 会場 で アイ に 歌わ せて ほしい ,0.9223
647,POSITIVE,0,今年 の 流行 語 大賞 ひき肉 です と アイドル で ええ やろ ,0.9729
648,NEUTRAL,0,アニソン ランキング アイドル の 圧勝 だ から 令和 平成 昭和 に 分けた 説 ,0.8812
649,NEGATIVE,0,レコード 大賞 が これ じゃ ない の は 有り 得 ない ,0.6967
650,NEUTRAL,1,これ は レコ 大 貰った な アイドル が 強 すぎる し 他 に 目立った 曲 が ない アイドル の 一 強 状態 ,0.6405
651,POSITIVE,1,なんか 人気 すぎて 聞く 気 に なれ なかった けど 聞いて みたら めっちゃ いい 曲 でした ごめんなさい ,0.9898
652,POSITIVE,1,YouTube に 在る 日本 の 歌 で 1 番 最初に 10億 回 再生 を 飾る 余地 の ある 名曲 🤩 ,0.8865
653,NEUTRAL,0,三 連休 最 終日 だ から って コメント を 絶やす な ,0.6269
654,POSITIVE,1,アニソン ランキング 1 位 おめでとう ㊗ ️ ,0.9879
655,POSITIVE,1,今年 を 代表 する 曲 を 超え アニソン を 代表 する 曲 を 超え 日本 を 代表 する 曲 に なった たった の 半年 で ,0.6618
656,NEGATIVE,1,しばらく 経った が 未だに 再生 回数 の 伸び を 見せて くれ とる わい … ,0.8821
657,POSITIVE,1,今更 ながら 推し の 子 を 一気 見 した かなり 前 から アニメ や 曲 の 紹介 は さ れて た もの の 訳 あり で 見 れて なかった 為 今回 見る 事 が 出来た かなり 良くて ハマった ,0.9921
658,POSITIVE,0,YOASOBI と Ado さん と 初音 ミク の トリプルコラボ も 見 たい ❗ ️ ,0.9753
659,POSITIVE,0,やはり 再生 数 早い ね ,0.6567
660,POSITIVE,1,6 ヶ月 連続 1 位 おめでとう ございます これ から も ずっと 応援 して ます 🥺🔥 ,0.9848
661,POSITIVE,0,年 内 で 4億 回 再生 出来る 予感 しか し ない です 初耳 学 を 見て 1 : 39 の 誰 より も 強い 君 以外 は 認め ない 2 : 34 の ない の 部分 の 歌い 方 と か 裏話 が 知れて 良かった です ,0.9873
662,POSITIVE,0,今年 の レコード 大賞 は アイドル で 決まり っしょ ❗ ️ ,0.9632
663,NEUTRAL,0,なんか 日清 の カップ ラーメン の 音 と 似て る んだ よ ね ,0.8815
664,POSITIVE,1,神 ,0.9014
665,NEUTRAL,0,さぁあ と 240万 だ ,0.4696
666,POSITIVE,1,とても エキサイティング ,0.6583
667,NEGATIVE,0,今更 アニメ 全部 一気 見 した けど 見る 前 と 後 じゃ 全く 印象 違う わ ,0.6229
668,NEGATIVE,0,でも どうして フォロワー が 500 人 も いる のです か ,0.5522
669,POSITIVE,0,紅白 出場 の 発表 来たら また フワッ と 盛り上がる はず ,0.9471
670,NEGATIVE,1,人気 順で コメント 見て る はずな のに 最近 の コメント が 上 に 来る の 流石 すぎる ,0.5574
671,NEUTRAL,0,2023 年 でも 見て る 人 🙋‍ ♀ ️ 🙋‍ ♂ ️ ,0.6002
672,NEUTRAL,0,勇者 に 抜かさ れる か な ,0.8134
673,NEUTRAL,0,幾 田 りら だ から いくらか ,0.8657
674,POSITIVE,0,みんな そう ゆう 感じ で いい ね 稼ぐ んだ ね ,0.9416
675,NEGATIVE,0,紅白 歌 合戦 来て くれ ❗ あと 2 ヶ月 ぐらい だ ,0.8252
676,POSITIVE,1,全部 の 歌詞 が 好き ,0.9903
677,NEUTRAL,0,うた は どう やって つくって る んです か ,0.9244
678,NEUTRAL,0,さぁあ と 251万 だ ,0.4112
679,NEUTRAL,1,怪物 3 年 かけて 3億 な のに アイドル 5 ヶ月 で 3億 は やば すぎる w ,0.5414
680,POSITIVE,1,2 : 31 ここ から の 歌詞 が 大好きです ,0.9912
681,POSITIVE,1,凄 すぎる の いき を はるかに 超えて いる ,0.7493
682,POSITIVE,0,0 : 57 究極 の ゲッター ♪ ,0.9787
683,POSITIVE,0,おし の こ いっぱい みて ます ,0.6095
684,NEGATIVE,0,ツバメ ,0.8858
685,NEUTRAL,0,アイドル が ロリ 神 に 負けて ます ( ) ,0.5838
686,NEGATIVE,-1,流石 に 人気 ランキング 落ちちゃ った か …… 老い を 感じる ,0.9898
687,POSITIVE,1,YOASOBIAyase 素 晴 らしい 作詞 作曲 ✴ ️ Ikura ちゃん それ を 完璧に 歌い 上げる 歌唱 力 💖共 に 天才 的な ミュージシャン ✴ ️ ,0.9744
688,NEUTRAL,0,知ら ん 間 に 三億 超えて る やん え 怪物 超えた ん ,0.5919
689,POSITIVE,1,原作 見て から だ と アイちゃん の 死んだ シーン が フラッシュ バック して しまう くらい に ピッチリ 合う 神曲 色 な 意味 で 心 が 軋む ,0.5362
690,NEUTRAL,0,3 .3 .. 億 .. .. だ と .. .. .. .. . .. 邦楽 再生 回数 ランキング 7 位 やん ,0.757
691,NEGATIVE,0,この 曲 聴いた 後 に 推し の 子 見た もん だ から 主人公 か と 思った の が 1 話 で 退場 して 驚き を 隠せ なかった ,0.5289
692,NEGATIVE,0,⚠ ️ 原作 ネタバレ ⚠ ️ 原作 コメント 218 話 No . 830 みて 今 見直した んだ けど 確かに 黒 アイ 演じて る ルビー 説 ある ね てっきり 裏 側 を 黒 と して 表して る だけ か と 思っ けど 目 の 色 と いい その 線 有り うる わぁ …… YOASOBI さん の 祝福 と か まんま ストーリー を 案じて した し 怖い お ,0.8571
693,NEUTRAL,0,令和 の 象徴 ,0.5146
694,POSITIVE,1,可愛い 😂❤ 笑笑 笑 ,0.9856
695,POSITIVE,1,この 歌 好き ❤ 😂笑 ,0.9844
696,NEUTRAL,0,わー お 😂 ,0.8597
697,POSITIVE,-1,何故 これ が 人気 に なる の か 分から なかった オールド ファン から する と 例えば ユーミン や 渡辺 真知子 シャラン Q 等 に 比べる と 日本 語 の 乗せ 方 が 絶妙に なって いて リズム と 歌詞 の バランス が とても 良い その 点 で は より 現代 的な 楽曲 な んだろう と 思い ます 少し Yoasobi の 曲 を 聴いて 見て 私 の 大好きな Beatles や LedZepp と 対比 して みよう か な と 思い ました ,0.8072
698,NEGATIVE,1,アニメ も アイドル も 中毒 性 高くて 何 回 も 見て しまう 同じ 人 🙋‍ ♀ ️ ,0.8047
699,POSITIVE,0,これ YouTube に 上げ たい んで この 曲 借りて も いい です か ,0.887
700,POSITIVE,1,だいだい だいすき ,0.9881
701,POSITIVE,1,これほど の 影響 力 を 持って いる の も それ だけ 完璧で 究極 の 魅力 的な 曲 だ と 言う こと ,0.939
702,POSITIVE,1,AKB を 先頭 に した アイドル が 日本 の 音楽 会 を 盛り上げて た 時期 が 落ち着き を 見せて つつ ある 今 この アニメ が アイドル って こういう 辛 さ と か 苦労 が あった よ ね って いう の を 後日 談 的に 語って る 感 が あって 好き ,0.9738
703,POSITIVE,0,紅白 出て ほしい ,0.8929
704,POSITIVE,1,物語 と ぴったり すぎて 鳥肌 たち ました 笑 ,0.9787
705,POSITIVE,1,神曲 ,0.9224
706,POSITIVE,1,これ は 本当に 素晴らしい 作品 で 私 は この 曲 が 大好きで 世界 的に ヒット し ました YOASOBI ,0.9864
707,NEUTRAL,0,だれ か この きょく ぶんしょう で かいて くれ ,0.5137
708,NEGATIVE,1,何 回 聞いて も 飽き ん ,0.9928
709,POSITIVE,1,アニメ の 1 話 を 見て から 聴く と 涙 が でて くる これ だけ 歌詞 に 込め られて る の すごい ,0.9794
710,NEUTRAL,0,レコ 大 もろ たろ これ ,0.6146
711,POSITIVE,0,ミスター 10 回 程 聴いて きた よ やはり 1000万 再生 数 以下 と 言う の は おかしい 楽曲 だ わ 今度 は セブンティーン に 行く よ アイドル は 当然 聴き ながら ね ,0.5472
712,NEGATIVE,0,やばい … 米津 の アイネクライネ を 抜かし そう 😮 ← 唖然 ,0.9794
713,POSITIVE,0,紅白 出る と 思う 人 🙆‍ ♀ ️ ဗ ီ ူ ဗ ီ ူ ဗ ီ ူ ဗ ီ ူ ⬇ ️ ,0.4931
714,POSITIVE,1,令和 の アニソン ランキング 1 位 おめでとう ございます 🎉 ,0.9813
715,POSITIVE,0,❤ 人生 の 最期 に 聴き たい 曲 1 位 ❤ 字幕 付けたら アイドル が iphone に なって た 😂 ,0.8058
716,NEUTRAL,0,でも 日本 曲 ランキング 4 位 に なって るー 😢 ,0.5091
717,NEUTRAL,1,*- サイコー - * ,0.8208
718,POSITIVE,0,これ もう レコード 大賞 な 気 が する ,0.7936
719,POSITIVE,0,流石 に 時間 たった から 人気 一 位 は 無い か ,0.5999
720,NEUTRAL,0,紅白 お 願い です ,0.8559
721,POSITIVE,1,いつか は 米津 玄師 さん の Lemon こえ てい くって か アイドル は 間違い なく 来年 今頃 に は 5億 いく と 思う 推し 🎉🎉 🎉 ,0.96
722,NEUTRAL,0,2021 夜 に 駆ける 2023 アイドル ,0.8184
723,POSITIVE,0,今 3億3700万 回 再生 ,0.5106
724,POSITIVE,1,今後 アニソン 界 で 抜かさ れる こと の ない 圧倒 的 1 位 の 座 に 君臨 した アイドル と 言う 怪物 ,0.7345
725,NEGATIVE,-1,歌詞 に 深い 意味 が ある 訳 で も なく 言葉 通り の 歌詞 ある 意味 言葉 の 裏 の 意味 を 読み 取る こと が 出来 ない Z 世代 向け に 作ら れた 曲 な んだ なぁ と 感じ ます ,0.7613
726,POSITIVE,1,この 曲 は 聴き 続けて も 飽き ませ ん ,0.5675
727,POSITIVE,0,ロリ 神海 外 で バズ って る ちゃ うんかい w 2 位 に 食い込ま れて る ,0.9695
728,POSITIVE,1,間違い なく 今 世紀 を 代表 する 曲 ,0.8046
729,NEUTRAL,0,12 月 31 日 再生 数 予想 4億 回 ,0.7717
730,NEUTRAL,0,さぁあ と 298万 だ ,0.4843
731,NEUTRAL,1,3 . 3億 回 再生 すごす … 一 度 でも 聞く と サビ の 辺り が 頭 に 残って 自動 で エンドレス 🎵 アニメ は まだ 観た 事 ない けど ,0.5786
732,NEGATIVE,1,驚く ほど 飽き ねぇ . .. 😱 ,0.9921
733,POSITIVE,1,お 疲れ 様 でした これ から も 応援 して ます 📣頑 張 って 下さい ね 😉 3 : 36 ,0.8941
734,POSITIVE,1,大好き 💕😘 ,0.9888
735,NEUTRAL,0,い ,0.5108
736,NEUTRAL,0,空虚な 世界 で 真実の 愛 を 求める ,0.5114
737,NEUTRAL,0,あ ,0.5809
738,POSITIVE,1,この 曲 神曲 です ね 2 : 45 ← この 場面 好き ,0.9818
739,POSITIVE,1,気づいたら 3 . 3億 で チャンネル で 一番 再生 さ れて て すご すぎる んだ ,0.659
740,POSITIVE,1,推し の 子 の アニメ 先行 上映 初日 行った けど この 曲 が これほど まで に 人気 に なる なんて 思って なかった 😂嬉 しい ,0.9887
741,POSITIVE,1,大好きな ,0.9859
742,POSITIVE,1,( 今年 の ) アイドル が アイドル 歌って る の 好き ,0.9882
743,NEGATIVE,-1,たぶん 今年 の 紅白 で は この 歌 が 選曲 さ れる んだ けど 歌詞 が 歌詞 だ から 何も 知ら ない 大人 が NHK が 世間 の 騒動 を 反映 さ せて 選曲 した んだ な と か 言い 出し そう 感 は あって 複雑 ,0.5975
744,POSITIVE,1,YOASOBI ファン でも 推し の 子 ファン で も ない けど この 明るくて 盛り上がる の に どこ か 物悲し さ も ある サビ の メロディ が アイ の キャラクター と マッチ し 過ぎて て 好き ,0.9928
745,NEUTRAL,0,実は 年 末 まで あと 12 週間 しか あり ませ ん 4億 まで 残り 6340万 結構 ギリギリ ,0.4841
746,NEGATIVE,1,YOASOBI は 天才 だ いや 天才 超えて もはや …… なんだ … 語彙 力無い から 言う の やめた ,0.9632
747,NEGATIVE,1,やはり 中毒 性 が エグい ,0.9906
748,NEUTRAL,0,今週 1 週間 の 再生 数 は 6543322 回 です 先週 の 再生 数 は 6684733 回 な ので 先週 比 は 97 .9 % でした ,0.8274
749,POSITIVE,1,RAB から 来 ました ( リアルアキバボーイズ ) まさ か まさか 合いの手 愛 の 手 完璧 過ぎる ,0.9788
750,POSITIVE,0,原作 や アニメ よりこ の MV が 完成 形 だろ これ だけ で いい ,0.9695
751,NEUTRAL,0,反応 動画 見て 一 つ 思った のだ けど 讃美歌 の ような コーラス って アイ に 対する クソ うるせぇ 讃歌 で コーレス で アイドル に 向け られた 賛美 な の か ,0.5882
752,POSITIVE,0,本日 の 再生 数 は 1082290 回 です 先週 の 今日 が 1023359 回 な ので 先週 比 は なんと 105 .8 % と 大幅 上昇 🎉初 耳 学 最高でした ね 録画 した から 明日 もっか い 見よ この 勢い の まま 明日 も 100万 再生 いける のでしょう か ⁉ ︎ ,0.9501
753,POSITIVE,0,2023 年 も 聴いて る 人 🙋 ,0.5441
754,NEUTRAL,1,未だ 一 日 100万 単位 で 伸びて ん の おかおか ,0.7189
755,POSITIVE,1,アニソン で 半年 立た ず で 3億 再生 って ヤバ すぎる 常識 すら 超える 曲 で 凄 すぎる ,0.9602
756,POSITIVE,0,ユーミン の 宿題 と 言う の が いいね アヤセ が 中央 ハイウェイ を どの様に 作り 上げる の か そして それ を イクラ が どの様に 歌う の か 楽しみ …… 楽しみ ,0.983
757,NEUTRAL,0,日本 語 で ない 部分 は どこ の 言葉 です か ,0.7897
758,POSITIVE,1,5 ヶ月 経った 今 でも ずっと 人気 ミュージック の 1 曲 と して 残って る の さすが 神曲 ,0.9756
759,NEUTRAL,0,YOASOBI も 言って いたろ ミスター と セブンティーン は 良い と 聴か ない と あかん で セブンティーン の 再生 数 は 上がって きて いる まだまだ 伸び しろあり まくり ,0.4835
760,NEUTRAL,1,YOASOBI の 曲 は 無意識に ノリノリ に なって しまう 曲 だな 😊 ,0.8092
761,NEGATIVE,0,初 見学 見逃し _ | | ○ ガクッ ,0.9908
762,POSITIVE,1,顔立ち が 綺麗で 歌唱 力 抜群で スタイル 抜群で パーフェクト ,0.9796
763,POSITIVE,1,これ は 後世 に 残す べき 神曲 ,0.9669
764,NEUTRAL,0,これ から は 社会 主義 の 時代 だ 年金 じゃー この 論文 を 見てくれ マズロー 欲求 段階 説 は 間違って い ます 気分 や 痛み に 影響 する の は 物質 摂取 と 良い 睡眠 と それ ら を 痛み 無く 楽 して 継続 できる 能力 が 無い と 思う と 恐怖 して 体 が 痛み 精神 病 に なり ます だ から 栄養 摂取 と 良い 睡眠 と 現在 の 社会 状況 ならば 分業 して 沢山 お 金 を 稼いで 必需 品 を 年間 100万 円 出して 買う の が 良い と 思い ます 家賃 を 考えれば 140万 です この 事実 は 強い 者 が 弱い もの を 助ける 社会 へ と 導く でしょう 金 を 多く 持って いて も 労働 で 痛み 無く 簡単に 稼げる 人 は 株式 投資 など する 意味 は ない でしょう やはり 自分 の 力 は なかなか 身 から 離れ ない です から 稼げ ない 人 に 食べ物 や 電気 や 家 を 分け 与える でしょう 年収 500万 円 と か の サラリーマン は 世界 が 変わり そうです ただ 人間 を 気分 良く さ せる 痛み を 無くし そう と 期待 さ せる ドパミン を 出す 女 と か 性 は 無駄だ と 気付いて 需要 が 減り 始めて い ます ただ 人 を 期待 さ せる 力 は 強い から DX で コスト 安く 値段 安く 多く の 人 を だまして 売上 を 増やして 見かけ上 の 需要 が 増えて る ように 見える けど みんな 気付いて ます 需要 は 確実に 減って ます 痛み を 減らす 気分 を 良く する など 期待 さ せる が 全く 効果 が 無い から です 笑い と かも その 類 です また おだて など は 栄養 摂取 や 良い 睡眠 を 継続 して 得る 能力 が 高く なった と 思わ せて 自信 の 無い 人間 の 恐怖 を 減らす 効果 は ある と 思い ます 寝 ます どう 思い ます か ,0.772
765,NEGATIVE,1,10 年 後 も 聞き 続け られて る であろう ほど 中毒 性 が ある ,0.7722
766,POSITIVE,1,初耳 学 から き ました 初見 さん です この 曲 は いい です ね ,0.9898
767,POSITIVE,1,初耳 学 最高だった 鳥肌 が すごい と いう か 全身 震えて るあー 最高 ,0.9856
768,NEUTRAL,0,星野 アイ って 星 の アイアイ 目星 の 目 って こと か ,0.9614
769,NEUTRAL,0,初耳 学 に 夢中だ から って コメント を 絶やす な ,0.6255
770,NEUTRAL,0,初耳 学 見 ながら 聴いて る ,0.9292
771,POSITIVE,1,この 曲 めっちゃ 好き ,0.992
772,NEUTRAL,0,テレビ 見て これ 見 に きた 人 俺 だけ じゃ ない はず ,0.6915
773,POSITIVE,1,今年 は 歴史 に 残る 一 年 でした ね アイドル 夜 遊び 大谷 の ホームラン 王 メジャー 世界 が 認める 日本 人 嬉しく 誇り に 思い ます ,0.9898
774,POSITIVE,1,ネットミーム 含めて 伝説 に なった な ,0.6672
775,NEUTRAL,0,この 曲 聴いて から 作品 見る と アイドル と して 成功 した から 良い もの の 一般 人 なら 完全無欠の 無害な サイコパス なんだろう なって 思う 🤔 ,0.8
776,POSITIVE,0,この 歌 好きな 人 いる ❤ ,0.8659
777,NEGATIVE,0,アニメ みて から 再び 聴く と 意味 違 く 聞こえる ,0.9103
778,POSITIVE,0,やばい コメント が ライン 見 たく なって る w ,0.7328
779,NEGATIVE,0,すごい 悲しく なったら いい です 🎉❤ ,0.9806
